name,architecture,variant_family,regime,dict_size,topk,exclusive_pct,exclusive_pct_label,model_side,metric_family,stage,value
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,A,overall_score,pre,-0.43
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,A,format_accuracy,post,66.0
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,A,overall_score,post,1.0
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,B,overall_score,post,-0.92
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,A,tool_correctness,post,67.0
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,B,tool_correctness,post,4.0
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,A,format_accuracy,delta,47.0
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,A,overall_score,delta,1.43
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,B,overall_score,delta,0.08
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,A,tool_correctness,delta,48.0
antebe1/cc-D16k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,160,0.0,0%,B,tool_correctness,delta,4.0
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,A,overall_score,pre,-0.43
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,A,format_accuracy,post,51.0
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,A,overall_score,post,0.55
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,B,overall_score,post,-0.76
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,A,tool_correctness,post,52.0
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,B,tool_correctness,post,12.0
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,A,format_accuracy,delta,32.0
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,A,overall_score,delta,0.98
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,B,overall_score,delta,0.24
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,A,tool_correctness,delta,33.0
antebe1/cc-D16k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,45,0.0,0%,B,tool_correctness,delta,12.0
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,A,overall_score,pre,-0.43
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,A,format_accuracy,post,45.0
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,A,overall_score,post,0.37
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,B,overall_score,post,-0.94
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,A,tool_correctness,post,46.0
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,B,tool_correctness,post,3.0
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,A,format_accuracy,delta,26.0
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,A,overall_score,delta,0.8
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,B,overall_score,delta,0.06
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,A,tool_correctness,delta,27.0
antebe1/cc-D16k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,16384,90,0.0,0%,B,tool_correctness,delta,3.0
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,A,overall_score,pre,-0.43
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,A,format_accuracy,post,42.0
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,A,overall_score,post,0.26
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,B,overall_score,post,-0.7
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,A,tool_correctness,post,42.0
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,B,tool_correctness,post,15.0
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,A,format_accuracy,delta,23.0
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,A,overall_score,delta,0.69
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,B,overall_score,delta,0.3
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,A,tool_correctness,delta,23.0
antebe1/cc-D16k-nol1-k160,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,160,0.0,0%,B,tool_correctness,delta,15.0
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,A,overall_score,pre,-0.43
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,A,format_accuracy,post,53.0
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,A,overall_score,post,0.59
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,B,overall_score,post,-0.72
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,A,tool_correctness,post,53.0
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,B,tool_correctness,post,14.0
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,A,format_accuracy,delta,34.0
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,A,overall_score,delta,1.02
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,B,overall_score,delta,0.28
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,A,tool_correctness,delta,34.0
antebe1/cc-D16k-nol1-k45,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,45,0.0,0%,B,tool_correctness,delta,14.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,overall_score,pre,-0.43
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,format_accuracy,post,35.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,overall_score,post,0.05
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,overall_score,post,-0.7
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,tool_correctness,post,35.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,tool_correctness,post,15.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,format_accuracy,delta,16.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,overall_score,delta,0.48
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,overall_score,delta,0.3
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,A,tool_correctness,delta,16.0
antebe1/cc-D16k-nol1-k90,CrossCoder,CrossCoder baseline,CrossCoder no-L1,16384,90,0.0,0%,B,tool_correctness,delta,15.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,overall_score,pre,-0.43
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,format_accuracy,post,49.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,overall_score,post,0.47
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,overall_score,post,-0.92
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,tool_correctness,post,49.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,tool_correctness,post,4.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,format_accuracy,delta,30.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,overall_score,delta,0.9
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,overall_score,delta,0.08
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,A,tool_correctness,delta,30.0
antebe1/cc-D8k-k160,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,160,0.0,0%,B,tool_correctness,delta,4.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,overall_score,pre,-0.43
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,format_accuracy,post,58.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,overall_score,post,0.76
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,overall_score,post,-0.76
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,tool_correctness,post,59.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,tool_correctness,post,12.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,format_accuracy,delta,39.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,overall_score,delta,1.19
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,overall_score,delta,0.24
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,A,tool_correctness,delta,40.0
antebe1/cc-D8k-k45,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,45,0.0,0%,B,tool_correctness,delta,12.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,format_accuracy,pre,19.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,format_accuracy,pre,0.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,overall_score,pre,-0.43
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,overall_score,pre,-1.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,tool_correctness,pre,19.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,tool_correctness,pre,0.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,format_accuracy,post,50.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,format_accuracy,post,0.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,overall_score,post,0.5
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,overall_score,post,-0.94
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,tool_correctness,post,50.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,tool_correctness,post,3.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,format_accuracy,delta,31.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,format_accuracy,delta,0.0
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,A,overall_score,delta,0.93
antebe1/cc-D8k-k90,CrossCoder,CrossCoder baseline,CrossCoder + L1,8192,90,0.0,0%,B,overall_score,delta,0.06
