dict_size,regime,exclusive_pct,metric_family,model_side,mean,median,min,max,count
8192,CrossCoder + L1,0.0,format_accuracy,A,52.333333333333336,50.0,49.0,58.0,3
8192,CrossCoder + L1,0.0,format_accuracy,B,0.0,0.0,0.0,0.0,3
8192,CrossCoder + L1,0.0,overall_score,A,0.5766666666666667,0.5,0.47,0.76,3
8192,CrossCoder + L1,0.0,overall_score,B,-0.8733333333333333,-0.92,-0.94,-0.76,3
8192,CrossCoder + L1,0.0,tool_correctness,A,52.666666666666664,50.0,49.0,59.0,3
8192,CrossCoder + L1,0.0,tool_correctness,B,6.333333333333333,4.0,3.0,12.0,3
8192,CrossCoder no-L1,0.0,format_accuracy,A,57.0,60.0,41.0,70.0,3
8192,CrossCoder no-L1,0.0,format_accuracy,B,0.0,0.0,0.0,0.0,3
8192,CrossCoder no-L1,0.0,overall_score,A,0.7033333333333334,0.8,0.21,1.1,3
8192,CrossCoder no-L1,0.0,overall_score,B,-0.8333333333333334,-0.84,-1.0,-0.66,3
8192,CrossCoder no-L1,0.0,tool_correctness,A,56.666666666666664,60.0,40.0,70.0,3
8192,CrossCoder no-L1,0.0,tool_correctness,B,8.333333333333334,8.0,0.0,17.0,3
8192,DFC free-exclusive,0.03,format_accuracy,A,47.0,49.0,36.0,56.0,3
8192,DFC free-exclusive,0.03,format_accuracy,B,0.0,0.0,0.0,0.0,3
8192,DFC free-exclusive,0.03,overall_score,A,0.4166666666666667,0.47,0.1,0.68,3
8192,DFC free-exclusive,0.03,overall_score,B,-0.86,-0.88,-0.88,-0.82,3
8192,DFC free-exclusive,0.03,tool_correctness,A,47.333333333333336,49.0,37.0,56.0,3
8192,DFC free-exclusive,0.03,tool_correctness,B,7.0,6.0,6.0,9.0,3
8192,DFC free-exclusive,0.05,format_accuracy,A,57.333333333333336,57.0,51.0,64.0,3
8192,DFC free-exclusive,0.05,format_accuracy,B,0.0,0.0,0.0,0.0,3
8192,DFC free-exclusive,0.05,overall_score,A,0.72,0.71,0.53,0.92,3
8192,DFC free-exclusive,0.05,overall_score,B,-0.94,-0.94,-0.96,-0.92,3
8192,DFC free-exclusive,0.05,tool_correctness,A,57.333333333333336,57.0,51.0,64.0,3
8192,DFC free-exclusive,0.05,tool_correctness,B,3.0,3.0,2.0,4.0,3
8192,DFC free-exclusive,0.1,format_accuracy,A,58.666666666666664,52.0,41.0,83.0,3
8192,DFC free-exclusive,0.1,format_accuracy,B,0.0,0.0,0.0,0.0,3
8192,DFC free-exclusive,0.1,overall_score,A,0.7733333333333333,0.56,0.27,1.49,3
8192,DFC free-exclusive,0.1,overall_score,B,-0.9,-0.88,-1.0,-0.82,3
8192,DFC free-exclusive,0.1,tool_correctness,A,59.333333333333336,52.0,43.0,83.0,3
8192,DFC free-exclusive,0.1,tool_correctness,B,5.0,6.0,0.0,9.0,3
8192,DFC penalized-exclusive,0.03,format_accuracy,A,46.0,44.0,44.0,50.0,3
8192,DFC penalized-exclusive,0.03,format_accuracy,B,0.0,0.0,0.0,0.0,3
8192,DFC penalized-exclusive,0.03,overall_score,A,0.38,0.32,0.32,0.5,3
8192,DFC penalized-exclusive,0.03,overall_score,B,-0.92,-0.9,-0.98,-0.88,3
8192,DFC penalized-exclusive,0.03,tool_correctness,A,46.0,44.0,44.0,50.0,3
8192,DFC penalized-exclusive,0.03,tool_correctness,B,4.0,5.0,1.0,6.0,3
8192,DFC penalized-exclusive,0.05,format_accuracy,A,40.666666666666664,45.0,26.0,51.0,3
8192,DFC penalized-exclusive,0.05,format_accuracy,B,0.0,0.0,0.0,0.0,3
8192,DFC penalized-exclusive,0.05,overall_score,A,0.22666666666666668,0.35,-0.22,0.55,3
8192,DFC penalized-exclusive,0.05,overall_score,B,-0.88,-0.94,-0.96,-0.74,3
8192,DFC penalized-exclusive,0.05,tool_correctness,A,41.0,45.0,26.0,52.0,3
8192,DFC penalized-exclusive,0.05,tool_correctness,B,6.0,3.0,2.0,13.0,3
8192,DFC penalized-exclusive,0.1,format_accuracy,A,51.333333333333336,54.0,44.0,56.0,3
8192,DFC penalized-exclusive,0.1,format_accuracy,B,0.0,0.0,0.0,0.0,3
8192,DFC penalized-exclusive,0.1,overall_score,A,0.54,0.6,0.32,0.7,3
8192,DFC penalized-exclusive,0.1,overall_score,B,-0.7999999999999999,-0.84,-0.96,-0.6,3
8192,DFC penalized-exclusive,0.1,tool_correctness,A,51.333333333333336,53.0,44.0,57.0,3
8192,DFC penalized-exclusive,0.1,tool_correctness,B,10.0,8.0,2.0,20.0,3
16384,CrossCoder + L1,0.0,format_accuracy,A,54.0,51.0,45.0,66.0,3
16384,CrossCoder + L1,0.0,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,CrossCoder + L1,0.0,overall_score,A,0.64,0.55,0.37,1.0,3
16384,CrossCoder + L1,0.0,overall_score,B,-0.8733333333333333,-0.92,-0.94,-0.76,3
16384,CrossCoder + L1,0.0,tool_correctness,A,55.0,52.0,46.0,67.0,3
16384,CrossCoder + L1,0.0,tool_correctness,B,6.333333333333333,4.0,3.0,12.0,3
16384,CrossCoder no-L1,0.0,format_accuracy,A,43.333333333333336,42.0,35.0,53.0,3
16384,CrossCoder no-L1,0.0,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,CrossCoder no-L1,0.0,overall_score,A,0.3,0.26,0.05,0.59,3
16384,CrossCoder no-L1,0.0,overall_score,B,-0.7066666666666667,-0.7,-0.72,-0.7,3
16384,CrossCoder no-L1,0.0,tool_correctness,A,43.333333333333336,42.0,35.0,53.0,3
16384,CrossCoder no-L1,0.0,tool_correctness,B,14.666666666666666,15.0,14.0,15.0,3
16384,DFC free-exclusive,0.03,format_accuracy,A,46.333333333333336,49.0,41.0,49.0,3
16384,DFC free-exclusive,0.03,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC free-exclusive,0.03,overall_score,A,0.4033333333333333,0.49,0.23,0.49,3
16384,DFC free-exclusive,0.03,overall_score,B,-0.88,-0.88,-0.94,-0.82,3
16384,DFC free-exclusive,0.03,tool_correctness,A,47.0,50.0,41.0,50.0,3
16384,DFC free-exclusive,0.03,tool_correctness,B,6.0,6.0,3.0,9.0,3
16384,DFC free-exclusive,0.05,format_accuracy,A,49.666666666666664,48.0,43.0,58.0,3
16384,DFC free-exclusive,0.05,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC free-exclusive,0.05,overall_score,A,0.5033333333333333,0.44,0.33,0.74,3
16384,DFC free-exclusive,0.05,overall_score,B,-0.8933333333333333,-0.88,-0.94,-0.86,3
16384,DFC free-exclusive,0.05,tool_correctness,A,50.333333333333336,48.0,45.0,58.0,3
16384,DFC free-exclusive,0.05,tool_correctness,B,5.333333333333333,6.0,3.0,7.0,3
16384,DFC free-exclusive,0.1,format_accuracy,A,49.666666666666664,57.0,33.0,59.0,3
16384,DFC free-exclusive,0.1,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC free-exclusive,0.1,overall_score,A,0.4766666666666666,0.69,-0.01,0.75,3
16384,DFC free-exclusive,0.1,overall_score,B,-0.84,-0.92,-0.98,-0.62,3
16384,DFC free-exclusive,0.1,tool_correctness,A,49.0,56.0,33.0,58.0,3
16384,DFC free-exclusive,0.1,tool_correctness,B,8.0,4.0,1.0,19.0,3
16384,DFC penalized-exclusive,0.03,format_accuracy,A,45.333333333333336,42.0,42.0,52.0,3
16384,DFC penalized-exclusive,0.03,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC penalized-exclusive,0.03,overall_score,A,0.3666666666666667,0.28,0.26,0.56,3
16384,DFC penalized-exclusive,0.03,overall_score,B,-0.86,-0.86,-0.88,-0.84,3
16384,DFC penalized-exclusive,0.03,tool_correctness,A,45.666666666666664,43.0,42.0,52.0,3
16384,DFC penalized-exclusive,0.03,tool_correctness,B,7.0,7.0,6.0,8.0,3
16384,DFC penalized-exclusive,0.05,format_accuracy,A,47.666666666666664,49.0,45.0,49.0,3
16384,DFC penalized-exclusive,0.05,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC penalized-exclusive,0.05,overall_score,A,0.45,0.49,0.37,0.49,3
16384,DFC penalized-exclusive,0.05,overall_score,B,-0.9333333333333333,-0.94,-0.94,-0.92,3
16384,DFC penalized-exclusive,0.05,tool_correctness,A,48.666666666666664,50.0,46.0,50.0,3
16384,DFC penalized-exclusive,0.05,tool_correctness,B,3.3333333333333335,3.0,3.0,4.0,3
16384,DFC penalized-exclusive,0.1,format_accuracy,A,51.0,51.0,50.0,52.0,2
16384,DFC penalized-exclusive,0.1,format_accuracy,B,0.0,0.0,0.0,0.0,2
16384,DFC penalized-exclusive,0.1,overall_score,A,0.5700000000000001,0.5700000000000001,0.54,0.6,2
16384,DFC penalized-exclusive,0.1,overall_score,B,-0.88,-0.88,-0.9,-0.86,2
16384,DFC penalized-exclusive,0.1,tool_correctness,A,53.0,53.0,52.0,54.0,2
16384,DFC penalized-exclusive,0.1,tool_correctness,B,6.0,6.0,5.0,7.0,2
